,,,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071
1000000US500070006001021,5.0007E+14,"Block 1021, Block Group 1, Census Tract 6, Chittenden County, Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070006001022,5.0007E+14,"Block 1022, Block Group 1, Census Tract 6, Chittenden County, Vermont",9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070006001023,5.0007E+14,"Block 1023, Block Group 1, Census Tract 6, Chittenden County, Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070006002000,5.0007E+14,"Block 2000, Block Group 2, Census Tract 6, Chittenden County, Vermont",60,60,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070006002001,5.0007E+14,"Block 2001, Block Group 2, Census Tract 6, Chittenden County, Vermont",127,126,125,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070006002002,5.0007E+14,"Block 2002, Block Group 2, Census Tract 6, Chittenden County, Vermont",60,59,54,1,0,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070006002003,5.0007E+14,"Block 2003, Block Group 2, Census Tract 6, Chittenden County, Vermont",101,100,100,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070006002004,5.0007E+14,"Block 2004, Block Group 2, Census Tract 6, Chittenden County, Vermont",75,74,67,1,0,6,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070006002005,5.0007E+14,"Block 2005, Block Group 2, Census Tract 6, Chittenden County, Vermont",243,237,232,0,0,4,0,1,6,6,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070006002006,5.0007E+14,"Block 2006, Block Group 2, Census Tract 6, Chittenden County, Vermont",121,117,112,4,1,0,0,0,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070006002007,5.0007E+14,"Block 2007, Block Group 2, Census Tract 6, Chittenden County, Vermont",320,312,299,4,0,8,0,1,8,7,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070006002008,5.0007E+14,"Block 2008, Block Group 2, Census Tract 6, Chittenden County, Vermont",146,143,138,3,0,1,0,1,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070006002009,5.0007E+14,"Block 2009, Block Group 2, Census Tract 6, Chittenden County, Vermont",604,595,574,4,0,14,0,3,9,7,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070006002010,5.0007E+14,"Block 2010, Block Group 2, Census Tract 6, Chittenden County, Vermont",171,171,162,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008001000,5.0007E+14,"Block 1000, Block Group 1, Census Tract 8, Chittenden County, Vermont",39,36,28,0,0,8,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008001001,5.0007E+14,"Block 1001, Block Group 1, Census Tract 8, Chittenden County, Vermont",160,155,139,16,0,0,0,0,5,5,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008001002,5.0007E+14,"Block 1002, Block Group 1, Census Tract 8, Chittenden County, Vermont",72,65,63,1,0,1,0,0,7,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008001003,5.0007E+14,"Block 1003, Block Group 1, Census Tract 8, Chittenden County, Vermont",267,262,248,10,2,2,0,0,5,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008001004,5.0007E+14,"Block 1004, Block Group 1, Census Tract 8, Chittenden County, Vermont",111,111,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008001005,5.0007E+14,"Block 1005, Block Group 1, Census Tract 8, Chittenden County, Vermont",47,45,44,0,1,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008001006,5.0007E+14,"Block 1006, Block Group 1, Census Tract 8, Chittenden County, Vermont",126,124,122,0,0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008001007,5.0007E+14,"Block 1007, Block Group 1, Census Tract 8, Chittenden County, Vermont",136,131,125,1,2,3,0,0,5,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008001008,5.0007E+14,"Block 1008, Block Group 1, Census Tract 8, Chittenden County, Vermont",139,137,135,0,1,1,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008001009,5.0007E+14,"Block 1009, Block Group 1, Census Tract 8, Chittenden County, Vermont",212,210,192,5,0,10,0,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008001010,5.0007E+14,"Block 1010, Block Group 1, Census Tract 8, Chittenden County, Vermont",170,170,158,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008001011,5.0007E+14,"Block 1011, Block Group 1, Census Tract 8, Chittenden County, Vermont",42,41,41,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008001012,5.0007E+14,"Block 1012, Block Group 1, Census Tract 8, Chittenden County, Vermont",39,37,35,0,0,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008001013,5.0007E+14,"Block 1013, Block Group 1, Census Tract 8, Chittenden County, Vermont",50,43,39,0,0,4,0,0,7,7,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008001014,5.0007E+14,"Block 1014, Block Group 1, Census Tract 8, Chittenden County, Vermont",40,39,38,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008001015,5.0007E+14,"Block 1015, Block Group 1, Census Tract 8, Chittenden County, Vermont",67,64,62,1,0,0,0,1,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008002000,5.0007E+14,"Block 2000, Block Group 2, Census Tract 8, Chittenden County, Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008002001,5.0007E+14,"Block 2001, Block Group 2, Census Tract 8, Chittenden County, Vermont",21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008002002,5.0007E+14,"Block 2002, Block Group 2, Census Tract 8, Chittenden County, Vermont",371,362,345,1,1,11,0,4,9,9,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008002003,5.0007E+14,"Block 2003, Block Group 2, Census Tract 8, Chittenden County, Vermont",32,32,30,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008002004,5.0007E+14,"Block 2004, Block Group 2, Census Tract 8, Chittenden County, Vermont",89,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008002005,5.0007E+14,"Block 2005, Block Group 2, Census Tract 8, Chittenden County, Vermont",69,65,63,2,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008002006,5.0007E+14,"Block 2006, Block Group 2, Census Tract 8, Chittenden County, Vermont",21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008002007,5.0007E+14,"Block 2007, Block Group 2, Census Tract 8, Chittenden County, Vermont",46,45,45,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008002008,5.0007E+14,"Block 2008, Block Group 2, Census Tract 8, Chittenden County, Vermont",27,26,26,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070008002009,5.0007E+14,"Block 2009, Block Group 2, Census Tract 8, Chittenden County, Vermont",61,60,57,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009001000,5.0007E+14,"Block 1000, Block Group 1, Census Tract 9, Chittenden County, Vermont",259,255,240,3,1,8,1,2,4,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009001001,5.0007E+14,"Block 1001, Block Group 1, Census Tract 9, Chittenden County, Vermont",339,334,326,2,2,3,0,1,5,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009001002,5.0007E+14,"Block 1002, Block Group 1, Census Tract 9, Chittenden County, Vermont",67,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009001003,5.0007E+14,"Block 1003, Block Group 1, Census Tract 9, Chittenden County, Vermont",101,99,96,3,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009001004,5.0007E+14,"Block 1004, Block Group 1, Census Tract 9, Chittenden County, Vermont",85,85,83,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009001005,5.0007E+14,"Block 1005, Block Group 1, Census Tract 9, Chittenden County, Vermont",79,77,75,0,1,1,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009001006,5.0007E+14,"Block 1006, Block Group 1, Census Tract 9, Chittenden County, Vermont",72,71,70,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009001007,5.0007E+14,"Block 1007, Block Group 1, Census Tract 9, Chittenden County, Vermont",77,74,73,0,0,1,0,0,3,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009002000,5.0007E+14,"Block 2000, Block Group 2, Census Tract 9, Chittenden County, Vermont",111,111,110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009002001,5.0007E+14,"Block 2001, Block Group 2, Census Tract 9, Chittenden County, Vermont",148,145,143,1,0,0,1,0,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009002002,5.0007E+14,"Block 2002, Block Group 2, Census Tract 9, Chittenden County, Vermont",111,108,106,1,0,1,0,0,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009002003,5.0007E+14,"Block 2003, Block Group 2, Census Tract 9, Chittenden County, Vermont",164,163,158,2,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009002004,5.0007E+14,"Block 2004, Block Group 2, Census Tract 9, Chittenden County, Vermont",175,173,163,3,2,3,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009002005,5.0007E+14,"Block 2005, Block Group 2, Census Tract 9, Chittenden County, Vermont",92,92,86,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009003000,5.0007E+14,"Block 3000, Block Group 3, Census Tract 9, Chittenden County, Vermont",93,92,83,4,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009003001,5.0007E+14,"Block 3001, Block Group 3, Census Tract 9, Chittenden County, Vermont",78,76,71,4,0,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009003002,5.0007E+14,"Block 3002, Block Group 3, Census Tract 9, Chittenden County, Vermont",268,252,222,23,1,5,0,1,16,16,2,6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009003003,5.0007E+14,"Block 3003, Block Group 3, Census Tract 9, Chittenden County, Vermont",226,226,220,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009003004,5.0007E+14,"Block 3004, Block Group 3, Census Tract 9, Chittenden County, Vermont",162,159,147,5,0,7,0,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070009003005,5.0007E+14,"Block 3005, Block Group 3, Census Tract 9, Chittenden County, Vermont",132,129,128,1,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070010001000,5.0007E+14,"Block 1000, Block Group 1, Census Tract 10, Chittenden County, Vermont",43,41,34,2,2,3,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070010001001,5.0007E+14,"Block 1001, Block Group 1, Census Tract 10, Chittenden County, Vermont",29,29,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070010001002,5.0007E+14,"Block 1002, Block Group 1, Census Tract 10, Chittenden County, Vermont",136,133,124,4,1,4,0,0,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070010001003,5.0007E+14,"Block 1003, Block Group 1, Census Tract 10, Chittenden County, Vermont",77,77,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070010001004,5.0007E+14,"Block 1004, Block Group 1, Census Tract 10, Chittenden County, Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070010001005,5.0007E+14,"Block 1005, Block Group 1, Census Tract 10, Chittenden County, Vermont",80,73,47,17,1,5,0,3,7,7,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070010001006,5.0007E+14,"Block 1006, Block Group 1, Census Tract 10, Chittenden County, Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070010001007,5.0007E+14,"Block 1007, Block Group 1, Census Tract 10, Chittenden County, Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070010001008,5.0007E+14,"Block 1008, Block Group 1, Census Tract 10, Chittenden County, Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070010001009,5.0007E+14,"Block 1009, Block Group 1, Census Tract 10, Chittenden County, Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070010001010,5.0007E+14,"Block 1010, Block Group 1, Census Tract 10, Chittenden County, Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
